companyName,website,linkedInUrl,contactInfo
AdPro,http://www.adproresults.com/,https://www.linkedin.com/company/adpro-results/,Advertising Services
OPPO,http://www.oppo.com/en,https://www.linkedin.com/company/oppo/,Telecommunications
Amazon,https://www.aboutamazon.com/,https://www.linkedin.com/company/amazon/,Software Development
